date,INTL_MSCIJP
2019-11-01,7585.723
2019-11-08,7679.527
2019-11-15,7668.089
2019-11-22,7649.839
2019-11-29,7631.641
2019-12-06,7743.815
2019-12-13,7828.748
2019-12-20,7775.761
2019-12-27,7778.6
2020-01-03,7839.47
2020-01-10,7803.844
2020-01-17,7779.082
2020-01-24,7810.347
2020-01-31,7686.649
2020-02-07,7807.793
2020-02-14,7686.048
2020-02-21,7449.973
2020-02-28,6984.221
2020-03-06,6979.501
2020-03-13,5886.829
2020-03-20,5678.453
2020-03-27,6656.012
2020-04-03,6133.111
2020-04-10,6605.725
2020-04-17,6734.604
2020-04-24,6612.044
2020-05-01,6687.621
2020-05-08,6848.757
2020-05-15,6760.348
2020-05-22,6852.328
2020-05-29,7252.315
2020-06-05,7357.102
2020-06-12,7342.228
2020-06-19,7411.12
2020-06-26,7366.96
2020-07-03,7269.728
2020-07-10,7256.682
2020-07-17,7394.409
2020-07-24,7482.545
2020-07-31,7137.835
2020-08-07,7360.822
2020-08-14,7676.524
2020-08-21,7620.0
2020-08-28,7673.493
2020-09-04,7655.694
2020-09-11,7732.234
2020-09-18,7887.098
2020-09-25,7734.503
2020-10-02,7707.093
2020-10-09,7867.337
2020-10-16,7754.961
2020-10-23,7832.761
2020-10-30,7642.717
2020-11-06,8131.951
2020-11-13,8276.014
2020-11-20,8464.683
2020-11-27,8758.694
2020-12-04,8698.029
2020-12-11,8742.725
2020-12-18,8850.413
2020-12-25,8753.206
2021-01-01,8954.357
2021-01-08,9163.994
2021-01-15,9180.896
2021-01-22,9198.128
2021-01-29,8864.805
2021-02-05,9191.582
2021-02-12,9461.961
2021-02-19,9411.678
2021-02-26,8999.644
2021-03-05,8973.425
2021-03-12,9158.841
2021-03-19,9412.864
2021-03-26,9226.283
2021-04-02,9198.226
2021-04-09,9229.201
2021-04-16,9294.393
2021-04-23,9150.561
2021-04-30,8968.245
2021-05-07,9183.236
2021-05-14,8878.093
2021-05-21,9027.546
2021-05-28,9171.652
2021-06-04,9261.647
2021-06-11,9209.178
2021-06-18,9152.419
2021-06-25,9180.661
2021-07-02,9115.652
2021-07-09,9012.936
2021-07-16,9091.615
2021-07-23,8923.547
2021-07-30,8969.379
2021-08-06,9073.57
2021-08-13,9230.308
2021-08-20,8883.388
2021-08-27,9087.386
2021-09-03,9537.764
2021-09-10,9870.852
2021-09-17,9899.253
2021-09-24,9790.359
2021-10-01,9354.873
2021-10-08,9140.156
2021-10-15,9286.006
2021-10-22,9227.364
2021-10-29,9191.414
2021-11-05,9438.774
2021-11-12,9406.152
2021-11-19,9469.707
2021-11-26,9255.842
2021-12-03,9111.592
2021-12-10,9173.375
2021-12-17,9211.939
2021-12-24,9174.828
2021-12-31,9136.838
2022-01-07,9128.014
2022-01-14,9176.866
2022-01-21,8951.898
2022-01-28,8595.643
2022-02-04,8812.308
2022-02-11,8905.821
2022-02-18,8767.438
2022-02-25,8517.952
2022-03-04,8413.621
2022-03-11,8046.045
2022-03-18,8405.054
2022-03-25,8551.78
2022-04-01,8431.289
2022-04-08,8119.663
2022-04-15,8025.035
2022-04-22,7902.45
2022-04-29,7795.352
2022-05-06,7814.582
2022-05-13,7651.797
2022-05-20,7795.852
2022-05-27,7898.906
2022-06-03,7875.944
2022-06-10,7705.927
2022-06-17,7196.563
2022-06-24,7316.237
2022-07-01,7235.601
2022-07-08,7365.471
2022-07-15,7257.903
2022-07-22,7644.873
2022-07-29,7716.427
2022-08-05,7649.454
2022-08-12,7848.678
2022-08-19,7741.73
2022-08-26,7663.446
2022-09-02,7317.052
2022-09-09,7325.025
2022-09-16,7188.612
2022-09-23,7077.598
2022-09-30,6751.457
2022-10-07,7009.48
2022-10-14,6832.509
2022-10-21,6695.7
2022-10-28,6890.018
2022-11-04,6968.155
2022-11-11,7648.999
2022-11-18,7541.921
2022-11-25,7758.913
2022-12-02,7737.051
2022-12-09,7697.606
2022-12-16,7640.486
2022-12-23,7629.895
2022-12-30,7646.991
2023-01-06,7573.654
2023-01-13,7991.28
2023-01-20,7937.566
